survey_id,country,survyear,period,tips,births,pys,asfr,age_group
TZA2017PHIA,Tanzania,2017,2016,0,3.429295739278139,609.5637774973435,0.00562581942345333,Y045_049
TZA2017PHIA,Tanzania,2017,2017,0,118.17269324974589,961.5659105989927,0.12289609266215774,Y015_019
TZA2017PHIA,Tanzania,2017,2017,0,183.60073825085536,791.0089748701262,0.2321095513246235,Y020_024
TZA2017PHIA,Tanzania,2017,2017,0,148.99017220385272,727.305157096374,0.20485235220752088,Y025_029
TZA2017PHIA,Tanzania,2017,2017,0,97.44711225875949,595.8810417374485,0.16353450677777345,Y030_034
TZA2017PHIA,Tanzania,2017,2017,0,71.89789651451494,504.1110604374677,0.14262312842753724,Y035_039
TZA2017PHIA,Tanzania,2017,2017,0,26.681146095700583,380.79849186776215,0.07006631240799661,Y040_044
TZA2017PHIA,Tanzania,2017,2017,0,1.0094190523708173,293.75938100810936,0.0034362104417116532,Y045_049
UGA2017PHIA,Uganda,2017,2015,0,44.083923775893695,267.1250682199911,0.16503102486655555,Y015_019
UGA2017PHIA,Uganda,2017,2015,0,61.643484840218406,199.50390075387625,0.30898385749493024,Y020_024
UGA2017PHIA,Uganda,2017,2015,0,39.77870821113305,189.99586520920423,0.20936617840252872,Y025_029
UGA2017PHIA,Uganda,2017,2015,0,17.94205462170791,104.86942384347704,0.17108947454967754,Y030_034
UGA2017PHIA,Uganda,2017,2015,0,9.627285219561553,96.39667079928715,0.09987155302911921,Y035_039
UGA2017PHIA,Uganda,2017,2015,0,2.6616965378832917,66.91944298026007,0.0397746367773629,Y040_044
UGA2017PHIA,Uganda,2017,2015,0,0,42.59387550204291,0,Y045_049
UGA2017PHIA,Uganda,2017,2016,0,370.44690093530767,3122.466737131871,0.11863918245469611,Y015_019
UGA2017PHIA,Uganda,2017,2016,0,588.3210773146714,2455.5961526017327,0.23958380806686733,Y020_024
UGA2017PHIA,Uganda,2017,2016,0,449.5685142828043,2174.5365170425907,0.20674222334708164,Y025_029
UGA2017PHIA,Uganda,2017,2016,0,275.75592904721606,1499.9583995150704,0.1838423846530455,Y030_034
UGA2017PHIA,Uganda,2017,2016,0,143.98123059318888,1253.865088772276,0.11482992220013744,Y035_039
UGA2017PHIA,Uganda,2017,2016,0,31.517989950542134,900.1455162257322,0.03501432755305563,Y040_044
UGA2017PHIA,Uganda,2017,2016,0,5.069901933802308,609.8815853734782,0.008312928370673154,Y045_049
UGA2017PHIA,Uganda,2017,2017,0,16.524131671338093,258.09574221138416,0.06402326334312244,Y015_019
UGA2017PHIA,Uganda,2017,2017,0,44.51805527103687,236.47841466901502,0.1882542021154285,Y020_024
UGA2017PHIA,Uganda,2017,2017,0,48.027257613023664,204.57679010828022,0.23476396118838003,Y025_029
UGA2017PHIA,Uganda,2017,2017,0,45.41869108047117,152.65649804574468,0.2975221602873473,Y030_034
UGA2017PHIA,Uganda,2017,2017,0,17.596377560989755,120.0413767283781,0.14658593595444766,Y035_039
UGA2017PHIA,Uganda,2017,2017,0,3.5062452374994697,89.36193944667262,0.03923644964746817,Y040_044
UGA2017PHIA,Uganda,2017,2017,0,1.8934974210586994,67.31671538593466,0.02812819089884371,Y045_049
ZMB2016PHIA,Zambia,2016,2015,0,187.82682744568612,1399.5986432003078,0.13420049266138415,Y015_019
ZMB2016PHIA,Zambia,2016,2015,0,271.9554332586247,1267.906786907605,0.21449166142719184,Y020_024
